Ort,Anzahl
1001,56625
1002,159642
1003,147198
1004,59611
10041,175651
10042,54670
10043,77327
10044,145783
10045,66303
10046,51600
1051,75751
1053,107558
1054,91494
1055,126217
1056,149548
1057,76730
1058,141686
1059,104477
1060,121347
1061,72667
1062,135652
11000,1836895
12051,51688
12052,61296
12053,34630
12054,106293
12060,85785
12061,76262
12062,43995
12063,56895
12064,76802
12065,78254
12066,35140
12067,69493
12068,57992
12069,74469
12070,36934
12071,26109
12072,71485
12073,53413
13003,100521
13004,57488
13071,117847
13072,108754
13073,99923
13074,73283
13075,105825
13076,98221
14511,127697
14521,103397
14522,103247
14523,96155
14524,121119
14612,236106
14625,100418
14626,84573
14627,83962
14628,78514
14713,288278
14729,101782
14730,81219
15001,40211
15002,118595
15003,120985
15081,33556
15082,64685
15083,65479
15084,61830
15085,106108
15086,38338
15087,58100
15088,64891
15089,72174
15090,50781
15091,53788
16051,108712
16052,53611
16053,61207
16054,17306
16055,81368
16056,23751
16061,48093
16062,37764
16063,38794
16064,45455
16065,24890
16066,53059
16067,35706
16068,29418
16069,18840
16070,45512
16071,30340
16072,22740
16073,39359
16074,19893
16075,28742
16076,27909
16077,31030
17000,125789
2000,871270
3101,143646
3102,59680
3103,84807
3151,70569
3153,77251
3154,40254
3155,56945
3157,76825
3158,61392
3159,182792
3241,611513
3251,114507
3252,74827
3254,155871
3255,34622
3256,61627
3257,81828
3351,97766
3352,122057
3353,128263
3354,24847
3355,101093
3356,57814
3357,87539
3358,72523
3359,112054
3360,50356
3361,74911
3401,39374
3402,27730
3403,103071
3404,160603
3405,52248
3451,67980
3452,98249
3453,77339
3454,181257
3455,53150
3456,80810
3457,79749
3458,60645
3459,142179
3460,83462
3461,47549
3462,26427
4011,307027
4012,66694
5111,324892
5112,240236
5113,270255
5114,111699
5116,131679
5117,105713
5119,109517
5120,53183
5122,89395
5124,163029
5154,173847
5158,233071
5162,161217
5166,152364
5170,233469
5314,204556
5315,599869
5316,90362
5334,313184
5358,152394
5362,219141
5366,100173
5370,126200
5374,135570
5378,173972
5382,297019
5512,62175
5513,128436
5515,201456
5554,223363
5558,130843
5562,309367
5566,274588
5570,150073
5711,200076
5754,171938
5758,116931
5762,94274
5766,176739
5770,164639
5774,159770
5911,197485
5913,290421
5914,106945
5915,67807
5916,66406
5954,170734
5958,147912
5962,189670
5966,81200
5970,145018
5974,149430
5978,156542
6411,112600
6412,347636
6413,40052
6414,137529
6431,122488
6432,94664
6433,110994
6434,147783
6435,177521
6436,105170
6437,45995
6438,137889
6439,85865
6440,141955
6531,143864
6532,104128
6533,96037
6534,127919
6535,51954
6611,98865
6631,113571
6632,60289
6633,106518
6634,85185
6635,79545
6636,57858
7111,77634
7131,49925
7132,52817
7133,71085
7134,31620
7135,32878
7137,88255
7138,90007
7140,47691
7141,61178
7143,86617
7211,95861
7231,48263
7232,42966
7233,39753
7235,45500
7311,21129
7312,59203
7313,30747
7314,82516
7315,289876
7316,37461
7317,26725
7318,35080
7319,33271
7320,25099
7331,60768
7332,62886
7333,28075
7334,50352
7335,30868
7336,26383
7337,33569
7338,47730
7339,95801
7340,44361
8111,1560055
8115,166703
8116,168248
8117,101162
8118,186446
8119,160035
8121,51499
8125,158604
8126,45509
8127,63979
8128,60189
8135,35295
8136,98249
8211,35196
8212,126465
8215,160255
8216,98860
8221,95015
8222,125917
8225,46466
8226,202961
8231,50936
8235,70847
8236,54350
8237,86580
8311,113001
8315,95709
8316,54899
8317,143375
8325,59320
8326,75778
8327,44845
8335,117730
8336,82057
8337,47395
8415,120528
8416,88176
8417,65034
8421,60703
8425,52876
8426,83209
8435,85006
8436,109831
8437,36251
9161,74916
9162,672418
9163,75911
9171,68820
9172,47038
9173,54590
9174,84002
9175,79536
9176,52859
9177,49045
9178,68164
9179,99001
9180,41845
9181,54190
9182,51353
9183,56652
9184,198109
9185,43027
9186,59779
9187,57819
9188,76522
9189,83036
9190,63986
9261,43936
9262,38817
9263,48555
9271,54634
9272,33272
9273,62153
9274,68992
9275,87795
9276,35298
9277,44636
9278,23773
9279,42245
9361,20320
9362,120079
9363,48381
9371,54329
9372,60557
9373,62877
9374,23529
9375,66612
9376,63818
9377,33980
9461,71489
9462,55486
9463,10656
9464,49760
9471,36478
9472,29650
9473,45763
9474,59294
9475,34790
9476,32037
9477,34679
9478,43450
9479,36415
9561,52697
9562,110305
9563,84576
9564,271422
9565,36051
9571,51117
9572,39213
9573,37198
9574,79572
9575,52747
9576,50134
9577,46401
9661,22446
9662,53457
9663,101557
9671,94378
9672,53158
9673,41235
9674,38691
9675,49784
9676,67386
9677,60956
9678,29133
9679,57039
9761,139435
9762,29523
9763,37807
9764,32590
9771,55228
9772,105330
9773,38550
9774,50935
9775,69138
9776,35866
9777,49140
9778,46920
9779,57109
9780,53535
u,32322
