Ort,Anzahl
1001,92157
1002,211870
1003,177095
1004,80769
10041,281595
10042,32714
10043,118309
10044,240395
10045,46927
10046,32310
1051,110551
1053,133991
1054,126504
1055,168447
1056,215238
1057,97572
1058,180278
1059,132648
1060,187559
1061,97235
1062,200024
11000,2671463
12051,96207
12052,105047
12053,77520
12054,186673
12060,119632
12061,122603
12062,74899
12063,69831
12064,74283
12065,122552
12066,46444
12067,74346
12068,94578
12069,74036
12070,52323
12071,32292
12072,101190
12073,87490
13003,145976
13004,81620
13071,178080
13072,146532
13073,157433
13074,108502
13075,157629
13076,137543
14511,182713
14521,149659
14522,188074
14523,165335
14524,170352
14612,347269
14625,151417
14626,176186
14627,141520
14628,133832
14713,396211
14729,173350
14730,128845
15001,58801
15002,175716
15003,180139
15081,52535
15082,99197
15083,104709
15084,113251
15085,138858
15086,58403
15087,84136
15088,109240
15089,111261
15090,72866
15091,75274
16051,209041
16052,121104
16053,75341
16054,26910
16055,122267
16056,30945
16061,58678
16062,44173
16063,50251
16064,64262
16065,36252
16066,90524
16067,50719
16068,32099
16069,27908
16070,53139
16071,49905
16072,34266
16073,46770
16074,30366
16075,38909
16076,37660
16077,38653
17000,192873
2000,1385352
3101,191842
3102,77562
3103,90572
3151,111390
3153,101689
3154,58164
3155,100431
3157,88371
3158,78304
3159,258763
3241,857443
3251,142920
3252,107900
3254,207138
3255,50004
3256,87639
3257,112080
3351,129856
3352,137366
3353,170505
3354,17416
3355,135968
3356,73842
3357,113036
3358,102588
3359,138148
3360,84131
3361,94389
3401,51607
3402,36040
3403,125486
3404,157032
3405,64365
3451,93061
3452,133975
3453,106797
3454,234894
3455,72059
3456,94862
3457,113933
3458,86789
3459,238904
3460,103118
3461,61580
3462,39312
4011,447299
4012,108346
5111,535499
5112,362253
5113,447131
5114,179252
5116,203257
5117,132778
5119,147949
5120,78324
5122,122944
5124,260793
5154,275373
5158,325456
5162,301252
5166,210534
5170,347666
5314,282776
5315,860625
5316,129181
5334,435649
5358,204028
5362,316715
5366,135870
5370,180466
5374,185199
5378,216303
5382,411886
5512,97898
5513,201740
5515,266524
5554,284342
5558,151758
5562,430039
5566,345689
5570,201328
5711,274554
5754,243582
5758,166116
5762,108751
5766,235579
5770,229763
5774,253432
5911,272104
5913,441754
5914,145891
5915,124726
5916,120863
5954,231516
5958,197182
5962,282938
5966,110036
5970,200199
5974,220512
5978,267555
6411,159751
6412,600794
6413,89160
6414,225042
6431,175644
6432,170187
6433,176855
6434,186835
6435,275053
6436,158189
6437,64602
6438,236463
6439,119002
6440,204855
6531,213919
6532,180819
6533,127606
6534,181637
6535,68303
6611,163094
6631,165535
6632,81787
6633,155808
6634,122429
6635,118140
6636,72109
7111,112367
7131,81334
7132,78148
7133,96013
7134,51631
7135,41611
7137,108609
7138,120113
7140,68209
7141,84688
7143,121564
7211,139896
7231,74273
7232,63257
7233,46240
7235,39416
7311,37558
7312,102216
7313,76257
7314,129850
7315,420002
7316,52734
7317,53389
7318,39678
7319,52069
7320,32526
7331,90416
7332,75784
7333,44149
7334,87389
7335,27925
7336,38633
7337,25763
7338,80246
7339,136278
7340,29460
8111,940109
8115,188853
8116,240297
8117,125204
8118,252123
8119,181067
8121,103600
8125,157060
8126,80915
8127,224671
8128,78012
8135,83952
8136,150670
8211,61611
8212,159574
8215,349413
8216,106320
8221,244755
8222,271333
8225,79886
8226,274322
8231,86528
8235,91041
8236,85589
8237,98818
8311,329389
8315,105003
8316,88979
8317,332344
8325,76790
8326,121979
8327,84232
8335,164026
8336,123700
8337,99166
8415,143448
8416,282492
8417,104536
8421,290061
8425,89922
8426,106906
8435,127683
8436,140490
8437,82189
9161,119860
9162,1038324
9163,132467
9171,109386
9172,65010
9173,79543
9174,113066
9175,99228
9176,77613
9177,86544
9178,109592
9179,139716
9180,59634
9181,75953
9182,72108
9183,78664
9184,261726
9185,59576
9186,85078
9187,73173
9188,104019
9189,112249
9190,90963
9261,55591
9262,51496
9263,76156
9271,78817
9272,47457
9273,81229
9274,100118
9275,127278
9276,49865
9277,65902
9278,27758
9279,63898
9361,49753
9362,166141
9363,73186
9371,55968
9372,89957
9373,84209
9374,23233
9375,95595
9376,101077
9377,49510
9461,111520
9462,97441
9463,13103
9464,84753
9471,43228
9472,27833
9473,68153
9474,80476
9475,24483
9476,45460
9477,52887
9478,54309
9479,51046
9561,99059
9562,162891
9563,129561
9564,404920
9565,39206
9571,56068
9572,41190
9573,36263
9574,110900
9575,69307
9576,76442
9577,63148
9661,28038
9662,85941
9663,142470
9671,138610
9672,74789
9673,54437
9674,52110
9675,65984
9676,91117
9677,86962
9678,30550
9679,76901
9761,223506
9762,47609
9763,68014
9764,53671
9771,83237
9772,156044
9773,57491
9774,78659
9775,126321
9776,54054
9777,71608
9778,65225
9779,90419
9780,76923
u,2604
