Ort,Anzahl
1001,95178
1002,210238
1003,182854
1004,83985
10041,290276
10042,36982
10043,118900
10044,245064
10045,52624
10046,37276
1051,120171
1053,138162
1054,134111
1055,178259
1056,223720
1057,100338
1058,188374
1059,142345
1060,195863
1061,102087
1062,208379
11000,2715413
12051,96586
12052,110285
12053,81167
12054,182001
12060,123617
12061,130010
12062,77858
12063,76691
12064,84860
12065,125765
12066,51255
12067,80725
12068,94814
12069,82013
12070,53416
12071,37677
12072,106486
12073,90559
13003,151978
13004,86282
13071,184742
13072,152642
13073,157801
13074,113750
13075,165154
13076,144234
14511,178146
14521,161734
14522,192443
14523,166014
14524,174780
14612,340819
14625,152660
14626,170399
14627,140478
14628,138177
14713,399098
14729,176407
14730,129793
15001,64865
15002,184209
15003,183313
15081,58070
15082,106759
15083,114981
15084,115438
15085,151332
15086,62349
15087,88480
15088,116282
15089,122925
15090,79489
15091,81297
16051,221374
16052,118816
16053,72939
16054,28209
16055,120640
16056,33299
16061,64574
16062,47582
16063,53643
16064,68367
16065,38493
16066,91933
16067,55873
16068,34719
16069,30421
16070,55967
16071,50541
16072,36491
16073,49406
16074,32535
16075,42209
16076,39321
16077,43305
17000,192662
2000,1456554
3101,201941
3102,84497
3103,101147
3151,114631
3153,105360
3154,59641
3155,104121
3157,92709
3158,81536
3159,258027
3241,873418
3251,151793
3252,108211
3254,210628
3255,51193
3256,88533
3257,113456
3351,136639
3352,143772
3353,173750
3354,19524
3355,139658
3356,77007
3357,119445
3358,103372
3359,145646
3360,85374
3361,99515
3401,58729
3402,38083
3403,130916
3404,166049
3405,69125
3451,96105
3452,138560
3453,114585
3454,258363
3455,73823
3456,101538
3457,118602
3458,90083
3459,252269
3460,112391
3461,69283
3462,40585
4011,464484
4012,118858
5111,508792
5112,371632
5113,422045
5114,177634
5116,198707
5117,132673
5119,149450
5120,77690
5122,121769
5124,255746
5154,263598
5158,331013
5162,311135
5166,212608
5170,338156
5314,282433
5315,859981
5316,127703
5334,435494
5358,209422
5362,328714
5366,136163
5370,182187
5374,187721
5378,206928
5382,413973
5512,98837
5513,209324
5515,272547
5554,299668
5558,163656
5562,451618
5566,365956
5570,211539
5711,285473
5754,255875
5758,178200
5762,114592
5766,246642
5770,237677
5774,259691
5911,281649
5913,467072
5914,154795
5915,134455
5916,128644
5954,240572
5958,207729
5962,301788
5966,117456
5970,216142
5974,232119
5978,282189
6411,163898
6412,572511
6413,88700
6414,220331
6431,178426
6432,167554
6433,188311
6434,173453
6435,280114
6436,160848
6437,66472
6438,237426
6439,124348
6440,212121
6531,216302
6532,175637
6533,132856
6534,182970
6535,72908
6611,167910
6631,167004
6632,87253
6633,155898
6634,126860
6635,122710
6636,75552
7111,108827
7131,81527
7132,84723
7133,99264
7134,53119
7135,43904
7137,111064
7138,122165
7140,69434
7141,83313
7143,125019
7211,133822
7231,72371
7232,64766
7233,47559
7235,44821
7311,37570
7312,97538
7313,67120
7314,128505
7315,405739
7316,49422
7317,52418
7318,44532
7319,52762
7320,33037
7331,89978
7332,80709
7333,43044
7334,81925
7335,31646
7336,39415
7337,28978
7338,84949
7339,135220
7340,37366
8111,949267
8115,205244
8116,263928
8117,136365
8118,269601
8119,196698
8121,112241
8125,170937
8126,81907
8127,226442
8128,85530
8135,88636
8136,158201
8211,61863
8212,173414
8215,361519
8216,119795
8221,249295
8222,276083
8225,86850
8226,281541
8231,92325
8235,98229
8236,91987
8237,102822
8311,321241
8315,112842
8316,93455
8317,328818
8325,89203
8326,133017
8327,91859
8335,176500
8336,133916
8337,108103
8415,154761
8416,284657
8417,108236
8421,286003
8425,94961
8426,113909
8435,140663
8436,148894
8437,87001
9161,119169
9162,1082027
9163,131043
9171,111466
9172,68532
9173,81158
9174,113999
9175,100788
9176,83137
9177,86485
9178,109460
9179,144311
9180,61718
9181,79463
9182,72304
9183,82927
9184,272457
9185,62864
9186,89000
9187,76526
9188,107117
9189,118848
9190,94309
9261,59178
9262,52596
9263,77322
9271,86381
9272,48335
9273,86950
9274,108887
9275,133810
9276,55585
9277,73400
9278,29545
9279,69476
9361,51142
9362,173025
9363,74764
9371,56011
9372,93621
9373,92869
9374,26001
9375,101309
9376,106353
9377,50414
9461,114568
9462,100104
9463,14063
9464,82621
9471,47248
9472,31901
9473,77566
9474,81719
9475,29856
9476,48516
9477,53259
9478,57272
9479,54252
9561,97395
9562,165398
9563,133054
9564,429846
9565,40876
9571,62234
9572,43147
9573,39060
9574,116507
9575,71385
9576,79452
9577,66952
9661,29645
9662,93490
9663,146523
9671,147483
9672,78726
9673,59309
9674,58376
9675,70546
9676,95021
9677,90069
9678,36337
9679,82563
9761,225845
9762,50425
9763,71366
9764,57499
9771,86399
9772,157676
9773,61479
9774,84338
9775,124546
9776,53702
9777,73974
9778,69629
9779,94707
9780,80933
u,1718
